repository_url,issue_number,title_processed,body_processed,label,label_cat,test_tag,valid,html_url,issue_reporter,issue_reporter_association,comment_count,commenters,comment_texts,commenter_associations
https://api.github.com/repos/SemBioProcess/SemGen,17,process participant multipliers need doubles not integers,data type process participant multipliers stoichiometries reaction double not int require code edits physical process java sem sim owlwriter sem sim owlreader least justification model creators integer stoichiometries reactions reason sbml supports double stoichiometries want able convert sbml models sem sim format process participant multipliers doubles,bug,bug,0,valid,https://github.com/SemBioProcess/SemGen/issues/17,maxneal,COLLABORATOR,4,"['thompsct', 'maxneal', 'thompsct', 'maxneal']","[""I've fixed this in the refactoring branch. Since I'm close to merging anyway, I'll bring them in with everything else."", 'If you are in the custom process editor and enter a double (as opposed to an integer) in the ""Multiplier"" field for a source, sink or mediator, you get an error message saying that it\'s an invalid entry.', ""Sorry, I hadn't committed it yet. Try it now."", 'Yep, works now. Thanks.']","['COLLABORATOR', 'COLLABORATOR', 'COLLABORATOR', 'COLLABORATOR']"
https://api.github.com/repos/MegaMek/megamek,273,marauder ii sprite facing incorrect camo not applied,trying work making movie weapons sound fx sprite marauder ii not facing correct direction regards white facing arrow mm digitreplaced urlreplaced seen camo color error log color mini map ? using poprocks high quality camos less problematic leave unit color determination old versions going camo causing issues custom camos not cause problems though im blue princess red entity image apply functionreplaced failed grab pixels camo image null player name bloodwolf facing zip urlreplaced pathreplaced,bug,bug,0,valid,https://github.com/MegaMek/megamek/issues/273,BLOODWOLF333,CONTRIBUTOR,3,"['BLOODWOLF333', 'BLOODWOLF333', 'arlith']","['Also, that MAD should have a green & black poprocks camo on it.....', 'You fixed this @alrith', ""This will be fixed by changes that are in PR #319.  The issue won't actually be fixed until that PR is merged in, so I'm going to leave it open until that happens.\n\nI have confirmed though that it wasn't related to #284.  It looks like when camo images are loaded, there was no mechanism to ensure that they were loaded before being used (aka, they weren't added to a `MediaTracker`.)""]","['CONTRIBUTOR', 'CONTRIBUTOR', 'CONTRIBUTOR']"
https://api.github.com/repos/eclipse/vorto,1809,open api generator generates invalid yml function blocks operation parameter,steps reproduce digitreplaced create information model using function block operations parameter digitreplaced generate open api yml digitreplaced open yml editor swagger io expected error actual generates request bodies content invalid according yml,bug,bug,0,valid,https://github.com/eclipse-vorto/vorto/issues/1809,aedelmann,CONTRIBUTOR,0,[],[],[]
https://api.github.com/repos/JHUAPL/AccumuloGraph,9,map reduce element incorrecly implements writable comparable wrong type,currently implementing writable comparable map reduce vertex implement writable comparable map reduce element,bug,bug,0,valid,https://github.com/JHUAPL/AccumuloGraph/issues/9,webbrl1,COLLABORATOR,0,[],[],[]
https://api.github.com/repos/spring-cloud/spring-cloud-netflix,673,enable oauth2sso work sprin clou security configure oauth digitreplaced client,using sprin clou starte parent version brixton digitreplaced test spring security oauth digitreplaced everything works fine enable eureka client enable eureka client reported error error failed execute goal org springframework boot sprin boo mave plugin digitreplaced digitreplaced digitreplaced release run defaul cli project sprin securit oauth digitreplaced brixto demo exception occured running null invocation target exception error creating bean name 'spring security filter chai defined class path resource pathreplaced security configuration class bean instantiation factory method failed nested exception org springframework beans bean instantiation exception failed instantiate javax servlet filter factory method 'spring security filter chai threw exception nested exception org springframework security config annotation built exception object built help digitreplaced maven pom xml codereplaced application java codereplaced resource server java codereplaced,bug,bug,0,valid,https://github.com/spring-cloud/spring-cloud-netflix/issues/673,zhangyongjiang,NONE,8,"['spencergibb', 'zhangyongjiang', 'dsyer', 'zhangyongjiang', 'dsyer', 'dsyer', 'zhangyongjiang', 'dsyer']","[""Please don't cross post: http://stackoverflow.com/questions/34003604/enableeurekaclient-cannot-work-with-enableoauth2sso-it-causes-springsecurityfil"", 'Sure. Which place do you prefer I post the question? And any idea about the issue I have? Thanks a lot.', 'I think if you have a `ResourceServerConfigurerAdapter` it needs to provide a request matcher, e.g. `http.antMatchers(""/**"")`.', '@dsyer I tried your suggestion. It doesn\'t work. Still report the same issue. ""Error creating bean with name \'springSecurityFilterChain\' defined in class path resource [org/springframework/security/config/annotation/web/configuration/WebSecurityConfiguration.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [javax.servlet.Filter]: Factory method \'springSecurityFilterChain\' threw exception; nested exception is org.springframework.security.config.annotation.AlreadyBuiltException: This object has already been built""\n\nI created a simple project at git@github.com:zhangyongjiang/spring-security-brixton.git . You may try it.\n\nYour help is highly appreciated.\n\nThanks.', ""Your app works if I remove the `spring-cloud-security` dependency. Not sure why you needed it anyway, but I'll see if I can make it fail more helpfully."", 'Including `spring-cloud-security` without configuring a `security.oauth2.client` blows up the SSO piece. (So you need that as well or else remove the `@EnableOAuth2Sso`.) I can make the error less obnoxious.', '@dsyer thank you.', 'Fixed here: https://github.com/spring-cloud/spring-cloud-security/commit/ee8b4cf339299a18cf95701673353d5e34c3eebb.']","['MEMBER', 'NONE', 'CONTRIBUTOR', 'NONE', 'CONTRIBUTOR', 'CONTRIBUTOR', 'NONE', 'CONTRIBUTOR']"
https://api.github.com/repos/wicketforge/wicketforge,146,exception latest digitreplaced eap,codereplaced original issue reported code google com codereplaced digitreplaced sep digitreplaced digitreplaced digitreplaced codereplaced,bug,bug,1,valid,https://github.com/wicketforge/wicketforge/issues/146,GoogleCodeExporter,NONE,0,[],[],[]
https://api.github.com/repos/stefan-niedermann/nextcloud-deck,169,remote deleted labels kept application,describe bug delete labels server synchronous unassigned not deleted reproduce steps reproduce behavior digitreplaced delete labels server digitreplaced synchronous application expected behavior deleted labels unassigned check not proposed,bug,bug,0,valid,https://github.com/stefan-niedermann/nextcloud-deck/issues/169,desperateCoder,COLLABORATOR,0,[],[],[]
https://api.github.com/repos/bentocorp/android,142,blank box displaying android signup clicking box clears email,cn34owduwaa2xyj urlreplaced,bug,bug,0,valid,https://github.com/bentocorp/android/issues/142,reg52,NONE,0,[],[],[]
https://api.github.com/repos/MarcusWolschon/osmeditor4android,648,lock icon disappears unsuccessful authentication,vespucci version vespucci digitreplaced digitreplaced digitreplaced digitreplaced device manufacturer model samsung galaxy digitreplaced a300fu android version digitreplaced digitreplaced digitreplaced pathreplaced recreate digitreplaced try upload data osm server authorization digitreplaced error occurs slow connection timeout authentication handshake retry application return main screen digitreplaced lock icon missing digitreplaced repeat icon appears try disappears expected behaviour lock icon disappears crash dump submitted yes date potentially relevant information language cs cz screenshot datereplaced digitreplaced digitreplaced digitreplaced urlreplaced screenshot datereplaced digitreplaced digitreplaced digitreplaced urlreplaced,defect,bug,1,valid,https://github.com/MarcusWolschon/osmeditor4android/issues/648,kudlav,NONE,3,"['simonpoole', 'kudlav', 'simonpoole']","['The workaround for now is ""then don\'t do that"" ... we\'ll have a look at it for the next release.', 'Persists in 10.0.2.', ""I haven't been able to repeat this in current builds, closing for now, if it does continue to turn up. Pls reopen.""]","['COLLABORATOR', 'NONE', 'COLLABORATOR']"
https://api.github.com/repos/inaturalist/iNaturalistAndroid,225,project chooser show observation fields users tons projects,like need verify fields actually downloaded application not not failed request ? cancelled request backgrounding ?,bug,bug,0,valid,https://github.com/inaturalist/iNaturalistAndroid/issues/225,kueda,MEMBER,2,"['budowski', 'kueda']","['There was a bug related to this that was fixed - that project observation fields were being overwritten if they had the same ID. Does it happen even if you made a clean re-install?', 'Should have been fixed by fffd7dd']","['CONTRIBUTOR', 'MEMBER']"
